timestamp,data,mark
timestamp,data,mark
2024-11-06T19:29:53.283889354+08:00,182744369,"far
"
2024-11-06T19:29:53.385117410+08:00,182740033,"far
"
2024-11-06T19:29:53.486282539+08:00,182740033,"far
"
2024-11-06T19:29:53.587460613+08:00,182740033,"far
"
2024-11-06T19:29:53.688643687+08:00,182758209,"far
"
2024-11-06T19:29:53.789831298+08:00,182740321,"far
"
2024-11-06T19:29:53.890996817+08:00,182776673,"far
"
2024-11-06T19:29:53.992161613+08:00,182758497,"far
"
2024-11-06T19:29:54.093325928+08:00,182785905,"far
"
2024-11-06T19:29:54.194488002+08:00,182770897,"far
"
2024-11-06T19:31:00.964582036+08:00,182716673,"far
"
2024-11-06T19:31:01.065803832+08:00,182694177,"far
"
2024-11-06T19:31:01.166968999+08:00,182694177,"far
"
2024-11-06T19:31:01.268137240+08:00,182721297,"far
"
2024-11-06T19:31:01.369301869+08:00,182712353,"far
"
2024-11-06T19:31:01.470472740+08:00,182721297,"far
"
2024-11-06T19:31:01.571644721+08:00,182703409,"far
"
2024-11-06T19:31:01.672820425+08:00,182730513,"far
"
2024-11-06T19:31:01.773991739+08:00,182708017,"far
"
2024-11-06T19:31:01.875157406+08:00,182703409,"far
"
2024-11-06T19:31:13.305445640+08:00,182721569,"far2
"
2024-11-06T19:31:13.406671973+08:00,182730801,"far2
"
2024-11-06T19:31:13.507838658+08:00,182730801,"far2
"
2024-11-06T19:31:13.609010454+08:00,182739745,"far2
"
2024-11-06T19:31:13.710192806+08:00,182703409,"far2
"
2024-11-06T19:31:13.811369788+08:00,182721569,"far2
"
2024-11-06T19:31:13.912533973+08:00,182730513,"far2
"
2024-11-06T19:31:14.013696751+08:00,182712641,"far2
"
2024-11-06T19:31:14.114859399+08:00,182712641,"far2
"
2024-11-06T19:31:14.216023825+08:00,182730801,"far2
"
2024-11-06T19:31:16.836385749+08:00,182721569,"far3
"
2024-11-06T19:31:16.937594953+08:00,182721569,"far3
"
