timestamp,data,mark,
timestamp,data,mark,
2024-11-07T20:33:58.567234190+08:00,192866801,"2
",
2024-11-07T20:33:58.668481764+08:00,192857057,"2
",
2024-11-07T20:33:58.769657079+08:00,192839025,"2
",
2024-11-07T20:33:58.870834671+08:00,192857057,"2
",
2024-11-07T20:33:58.972009356+08:00,192875489,"2
",
2024-11-07T20:33:59.073194004+08:00,192891153,"2
",
2024-11-07T20:33:59.174366967+08:00,192918273,"2
",
2024-11-07T20:33:59.275535041+08:00,192918273,"2
",
2024-11-07T20:33:59.376700171+08:00,192891153,"2
",
2024-11-07T20:33:59.477869171+08:00,192909585,"2
",
2024-11-07T20:33:59.579037486+08:00,192914465,"2
",
2024-11-07T20:33:59.680225448+08:00,192928017,"2
",
2024-11-07T20:33:59.781390671+08:00,192896033,"2
",
2024-11-07T20:33:59.882554726+08:00,192919329,"2
",
2024-11-07T20:33:59.983719133+08:00,192899841,"2
",
2024-11-07T20:34:00.084891782+08:00,192913409,"2
",
2024-11-07T20:34:00.186070689+08:00,192904721,"2
",
2024-11-07T20:34:00.287240763+08:00,192928017,"2
",
2024-11-07T20:34:00.388421763+08:00,192900897,"2
",
2024-11-07T20:34:00.489588059+08:00,192918273,"2
",
2024-11-07T20:34:00.590754411+08:00,192914465,"2
",
2024-11-07T20:34:00.691929374+08:00,192909585,"2
",
2024-11-07T20:34:00.793098448+08:00,192910641,"2
",
2024-11-07T20:34:00.894268448+08:00,192904721,"2
",
2024-11-07T20:34:00.995432540+08:00,192918273,"2
",
2024-11-07T20:34:01.096609855+08:00,192909585,"2
",
2024-11-07T20:34:01.197781577+08:00,192909585,"2
",
2024-11-07T20:34:01.298946355+08:00,192928017,"2
",
2024-11-07T20:34:01.400108873+08:00,192896033,"2
",
2024-11-07T20:34:01.501276762+08:00,192918273,"2
",
2024-11-07T20:34:01.602444114+08:00,192914465,"2
",
2024-11-07T20:34:01.703620725+08:00,192899841,"2
",
2024-11-07T20:34:01.804785947+08:00,192928017,"2
",
2024-11-07T20:34:01.905946966+08:00,192919329,"2
",
2024-11-07T20:34:02.007110243+08:00,192932897,"2
",
2024-11-07T20:34:02.108287929+08:00,192900897,"2
",
2024-11-07T20:34:02.209460910+08:00,192919329,"2
",
2024-11-07T20:34:02.310626225+08:00,192905777,"2
",
2024-11-07T20:34:02.411789391+08:00,192924209,"2
",
2024-11-07T20:34:02.512950576+08:00,192909585,"2
",
2024-11-07T20:34:02.614126021+08:00,192937761,"2
",
2024-11-07T20:34:02.715300910+08:00,192920385,"2
",
2024-11-07T20:34:02.816465002+08:00,192919329,"2
",
2024-11-07T20:34:02.917628298+08:00,192919329,"2
",
2024-11-07T20:34:03.018790706+08:00,192900897,"2
",
2024-11-07T20:34:03.119965928+08:00,192932897,"2
",
2024-11-07T20:34:03.221136298+08:00,192919329,"2
",
2024-11-07T20:34:03.322299409+08:00,192929073,"2
",
2024-11-07T20:34:03.423461557+08:00,192905777,"2
",
2024-11-07T20:34:03.524625187+08:00,192937761,"2
",
2024-11-07T20:34:03.625789131+08:00,192920385,"2
",
2024-11-07T20:34:03.726960465+08:00,192928017,"2
",
2024-11-07T20:34:03.828141242+08:00,192909585,"2
",
2024-11-07T20:34:03.929307020+08:00,192909585,"2
",
2024-11-07T20:34:04.030470150+08:00,192909585,"2
",
2024-11-07T20:34:04.131647075+08:00,192891153,"2
",
2024-11-07T20:34:04.232832390+08:00,192913409,"2
",
2024-11-07T20:34:04.333998149+08:00,192891153,"2
",
2024-11-07T20:34:04.435159705+08:00,192929073,"2
",
2024-11-07T20:34:04.536324057+08:00,192928017,"2
",
2024-11-07T20:34:04.637486094+08:00,192905777,"2
",
2024-11-07T20:34:04.738658871+08:00,192909585,"2
",
2024-11-07T20:34:04.839828038+08:00,192919329,"2
",
2024-11-07T20:34:04.940998168+08:00,192909585,"2
",
2024-11-07T20:34:05.042160742+08:00,192919329,"2
",
2024-11-07T20:34:05.143333871+08:00,192905777,"2
",
2024-11-07T20:34:05.244504427+08:00,192910641,"2
",
2024-11-07T20:34:05.345669019+08:00,192915521,"2
",
2024-11-07T20:34:05.446831260+08:00,192920385,"2
",
2024-11-07T20:34:05.547993815+08:00,192928017,"2
",
2024-11-07T20:34:05.649155167+08:00,192919329,"2
",
2024-11-07T20:34:05.750325982+08:00,192923153,"2
",
2024-11-07T20:34:05.851489611+08:00,192929073,"2
",
2024-11-07T20:34:05.952652611+08:00,192910641,"2
",
2024-11-07T20:34:06.053815593+08:00,192928017,"2
",
2024-11-07T20:34:06.154990685+08:00,192900897,"2
",
2024-11-07T20:34:06.256162574+08:00,192928017,"2
",
2024-11-07T20:34:06.357324667+08:00,192915521,"2
",
2024-11-07T20:34:06.458488796+08:00,192923153,"2
",
2024-11-07T20:34:06.559653704+08:00,192915521,"2
",
2024-11-07T20:34:06.660816944+08:00,192914465,"2
",
2024-11-07T20:34:06.761989407+08:00,192923153,"2
",
2024-11-07T20:34:06.863151370+08:00,192909585,"2
",
2024-11-07T20:34:06.964314703+08:00,192896033,"2
",
2024-11-07T20:34:07.065511981+08:00,192918273,"2
",
2024-11-07T20:34:07.166723444+08:00,192909585,"2
",
2024-11-07T20:34:07.267896222+08:00,192909585,"2
",
2024-11-07T20:34:07.369060351+08:00,192924209,"2
",
2024-11-07T20:34:07.470223222+08:00,192929073,"2
",
2024-11-07T20:34:07.571384129+08:00,192924209,"2
",
2024-11-07T20:34:07.672545684+08:00,192924209,"2
",
2024-11-07T20:34:07.773729592+08:00,192928017,"2
",
2024-11-07T20:34:07.874898073+08:00,192919329,"2
",
2024-11-07T20:34:07.976060425+08:00,192905777,"2
",
2024-11-07T20:34:08.077234258+08:00,192909585,"2
",
2024-11-07T20:34:08.178403999+08:00,192924209,"2
",
2024-11-07T20:34:08.279586573+08:00,192928017,"2
",
2024-11-07T20:34:08.380759240+08:00,192909585,"2
",
2024-11-07T20:34:08.481924610+08:00,192909585,"2
",
2024-11-07T20:34:08.583089573+08:00,192920385,"2
",
2024-11-07T20:34:20.897644028+08:00,191076081,"3
",
2024-11-07T20:34:20.998860528+08:00,191072401,"3
",
2024-11-07T20:34:21.100046195+08:00,191076321,"3
",
2024-11-07T20:34:21.201237306+08:00,191076321,"3
",
2024-11-07T20:34:21.302400602+08:00,191067585,"3
",
2024-11-07T20:34:21.403563028+08:00,191076321,"3
",
2024-11-07T20:34:21.504725602+08:00,191048961,"3
",
2024-11-07T20:34:21.605888269+08:00,191044129,"3
",
2024-11-07T20:34:21.707052528+08:00,191048961,"3
",
2024-11-07T20:34:21.808215843+08:00,191048033,"3
",
2024-11-07T20:34:21.909383250+08:00,191057697,"3
",
2024-11-07T20:34:22.010557694+08:00,191048033,"3
",
2024-11-07T20:34:22.111735268+08:00,191056769,"3
",
2024-11-07T20:34:22.212907102+08:00,191048033,"3
",
2024-11-07T20:34:22.314072528+08:00,191057697,"3
",
2024-11-07T20:34:22.415235546+08:00,191056769,"3
",
2024-11-07T20:34:22.516412250+08:00,191066433,"3
",
2024-11-07T20:34:22.617591787+08:00,191066433,"3
",
2024-11-07T20:34:22.718760009+08:00,191048033,"3
",
2024-11-07T20:34:22.819922490+08:00,191066433,"3
",
2024-11-07T20:34:22.921084268+08:00,191048961,"3
",
2024-11-07T20:34:23.022259749+08:00,191057697,"3
",
2024-11-07T20:34:23.123441916+08:00,191057697,"3
",
2024-11-07T20:34:23.224616231+08:00,191057697,"3
",
2024-11-07T20:34:23.325781657+08:00,191057697,"3
",
